视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1c94y1Q7Nb?from=search,集美们开抖！,120.8万,2479,2022-07-31 12:15:00,3.8万,6177,9190,1.6万,"动画,综合,毕业,健身,新番,萌宠,情感,虚拟偶像,3D,解压,打工,永雏塔菲"
https://www.bilibili.com/video/BV12R4y1t7t8?from=search,【超美丽3D】虚拟偶像全脸出镜cos自己，是不是很像？,258.7万,4019,2021-11-12 15:12:14,9.6万,1.3万,2.3万,1.3万,"动画,特摄,特摄,cosplay,虚拟UP主,永雛タフィー,AceTaffy,kigurumi,虚拟主播,vtuber,VUP,永雏塔菲,直播：虚拟主播"
https://www.bilibili.com/video/BV1gA4m1A7wf?from=search,@永雏塔菲 为什么惨遭停更,14.0万,66,2024-03-28 18:21:57,1.7万,1673,1123,2317,"动画,综合,虚拟偶像,毕业,消失,停更,引退,隐退,转生,停播,休学,永雏塔菲"
https://www.bilibili.com/video/BV1NC4y1n7dY?from=search,VR直播中误开摄像头喵？！,173.9万,1709,2023-10-28 15:17:00,5.0万,4917,6899,1.2万,"动画,综合,减肥,虚拟偶像,双马尾,可爱,搞笑,3D,JK　,新衣服,微胖女孩,永雏塔菲"
https://www.bilibili.com/video/BV1Yz421Z7G8?from=search,当代🤡聊天,18.4万,138,2024-03-23 14:57:17,1.6万,2130,1519,3646,"动画,综合,毕业,二次元,搞笑,虚拟偶像,猫,鬼,聊天,沸羊羊,舔狗,永雏塔菲"
https://www.bilibili.com/video/BV1vU4y1X7h8?from=search,“主播哪国人”,153.3万,2453,2022-06-19 12:17:00,7.3万,5655,9535,7887,"动画,综合,百度,虚拟偶像,翻译,新人,毕业,3D,狗妈,vtuber,永雏塔菲"
https://www.bilibili.com/video/BV1ct42137UR?from=search,当我学会了永雏塔菲的声线喵,55.1万,519,2024-03-27 02:29:03,5.4万,2539,8812,1.8万,"美好的精神状态,生活,搞笑,taffy,塔菲喵,私人笑声,搞笑研究所20242.0,大吉大利,小菲,今晚吃鸡,原神,必剪创作,永雏塔菲"
https://www.bilibili.com/video/BV1Qu4m1M7S1?from=search,疑似永雏塔菲私联聊天记录喵！,24.4万,204,2024-03-14 17:29:27,2.0万,2337,2526,5647,"动画,综合,演员,黑历史,虚拟偶像,修女,毕业,私人笑声,聊天记录,盗号,648,永雏塔菲"
https://www.bilibili.com/video/BV17u4y1h758?from=search,永雏塔菲：好烫……雏草姬的好烫,10.5万,99,2023-10-30 00:35:13,2429,194,1446,2254,"皇家萌卫,动画,综合,毕业,可爱,虚拟偶像,虚拟UP主,taffy,VTB,必剪创作,永雏塔菲"
https://www.bilibili.com/video/BV1ep4y1w71a?from=search,【补档】永雏塔菲：不要进taffy的洞,5.2万,35,2023-09-23 19:13:45,818,56,554,1169,"动画,综合,虚拟偶像,毕业,可爱,虚拟UP主,taffy,VTB,必剪创作,永雏塔菲"
https://www.bilibili.com/video/BV1BM41117P9?from=search,【永雏塔菲】直播中露出IP地址！吓得慌忙下播连夜搬家！,15.6万,102,2022-12-24 01:56:14,2192,438,504,1465,"虚拟UP主年终盛典,游戏,单机游戏,毕业,虚拟偶像,可爱,虚拟主播,vtuber,vtb,必剪创作,元宇宙,永雏塔菲"
https://www.bilibili.com/video/BV1YQ4y157zV?from=search,永雏塔菲逆天叫声，进来看看满意了,43.9万,279,2024-01-13 07:40:43,1.1万,433,1.2万,7012,"游戏,手机游戏,逆天,永雏塔菲的遗像,虚拟主播,永雏塔菲"
https://www.bilibili.com/video/BV1Gu411M7jX?from=search,【永雏塔菲】塔菲玩农,6.0万,31,2023-10-09 20:02:06,786,45,181,403,"游戏皆可榨菜,游戏,手机游戏,剪辑,可爱,王者荣耀,二创,MOBA,王者农药,虚拟主播,永雏塔菲,整点电子榨菜第六期"
https://www.bilibili.com/video/BV1Zj42197h4?from=search,“主打个浪漫沉溺在爱河不上岸”《5:20AM》/AI永雏塔菲,492,0,2024-03-31 17:20:00,52,18,7,3,"5:20AM,原神UP主激励计划,鬼畜,人力VOCALOID,人力VOCALOID,萌宠,虚拟偶像,塔菲,雏草姬,虚拟主播,vtuber,Vup,永雏塔菲"
https://www.bilibili.com/video/BV1F8411u7eM?from=search,&quot;Taffy&quot;成违规词！🤣塔菲被3A大作制裁，或因&quot;Taffy&quot;包含不良内容【永雏塔菲】,9.3万,269,2023-02-07 21:10:36,1496,43,298,488,"动画,综合,虚拟偶像,虚拟UP主,VTuber,塔菲,霍格沃兹,3A,虚拟主播,Taffy,Vup,永雏塔菲"
https://www.bilibili.com/video/BV1wN4y1n7gt?from=search,【永雏塔菲】塔菲的笔才不是黑的！是粉嫩的喵！,9.1万,76,2024-01-29 21:43:26,2883,139,689,2602,"动画新春会,动画,综合,可爱,虚拟偶像,VTuber,小菲,虚拟主播,永雏塔菲,2024bilibili迎春会"
https://www.bilibili.com/video/BV1Xt421g75E?from=search,【永雏塔菲】taffy只是在喝牛奶喵,1784,1,2024-03-30 20:10:01,86,18,39,36,"活動日誌,动画,综合,虚拟偶像,毕业,可爱,虚拟UP主,taffy,VTB,必剪创作,永雏塔菲"
https://www.bilibili.com/video/BV1M44y1H7tu?from=search,（熟）【永雏塔菲】逆天直播内容合集,39.1万,820,2022-02-04 15:59:56,6133,301,4239,1444,"动画,综合,日常,剪辑,可爱,熟肉,虚拟YOUTUBER,永雏塔菲"
https://www.bilibili.com/video/BV1JC4y1k7BM?from=search,【永雏塔菲】你们可以打倒大菲，但胜利的小菲只会成为新的大菲,9.7万,220,2024-01-23 18:29:59,3141,397,960,1324,"Experience,动画,动漫杂谈,虚拟偶像,小菲,永雏塔菲"
https://www.bilibili.com/video/BV1VT4y1D77g?from=search,【永雏塔菲】被超管警告后气出本音的塔菲,38.2万,73,2022-03-05 19:44:37,2976,78,572,109,"动画,综合,虚拟UP主,艾尔登法环,VTUBER,VUP,打卡挑战,永雏塔菲"
